s,labels,names,category,n,top_five
Control,0,pr_yearlysum_1,Climate,41,1
Control,1,pr_yearlysum_2,Climate,3,0.25
Control,2,pr_yearlysum_3,Climate,17,0.25
Control,3,tas_gs_dailyavg_1,Climate,36,0.25
Control,4,tas_gs_dailyavg_2,Climate,40,1
Control,5,tas_gs_dailyavg_3,Climate,23,0.25
Control,12,rsds_gs_dailyavg_1,Climate,1,0.25
Control,13,rsds_gs_dailyavg_2,Climate,23,0.25
Control,14,rsds_gs_dailyavg_3,Climate,14,0.25
Control,16,clay_fraction,Soil,5,0.25
Control,17,ph_soil,Soil,20,0.25
Control,18,sand_fraction,Soil,6,0.25
Control,19,silt_fraction,Soil,50,1
Control,20,soilcarbon,Soil,18,0.25
Control,21,sum_exp_est_2_10,Initial Recruitment,99,1
Control,22,sum_anpp_2_10,Initial Recruitment,99,1
SSP1-RCP2.6,3,tas_gs_dailyavg_1,Climate,3,0.25
SSP1-RCP2.6,6,tas_gs_dailymin_1,Climate,34,0.25
SSP1-RCP2.6,7,tas_gs_dailymin_2,Climate,53,1
SSP1-RCP2.6,8,tas_gs_dailymin_3,Climate,10,0.25
SSP1-RCP2.6,9,tas_gs_dailymax_1,Climate,15,0.25
SSP1-RCP2.6,10,tas_gs_dailymax_2,Climate,83,1
SSP1-RCP2.6,15,bulkdensity_soil,Soil,94,1
SSP1-RCP2.6,16,clay_fraction,Soil,1,0.25
SSP1-RCP2.6,17,ph_soil,Soil,1,0.25
SSP1-RCP2.6,18,sand_fraction,Soil,3,0.25
SSP1-RCP2.6,21,sum_exp_est_2_10,Initial Recruitment,99,1
SSP1-RCP2.6,22,sum_anpp_2_10,Initial Recruitment,99,1
SSP5-RCP8.5,4,tas_gs_dailyavg_2,Climate,20,0.25
SSP5-RCP8.5,6,tas_gs_dailymin_1,Climate,4,0.25
SSP5-RCP8.5,7,tas_gs_dailymin_2,Climate,5,0.25
SSP5-RCP8.5,8,tas_gs_dailymin_3,Climate,98,1
SSP5-RCP8.5,9,tas_gs_dailymax_1,Climate,98,1
SSP5-RCP8.5,10,tas_gs_dailymax_2,Climate,1,0.25
SSP5-RCP8.5,11,tas_gs_dailymax_3,Climate,7,0.25
SSP5-RCP8.5,12,rsds_gs_dailyavg_1,Climate,50,1
SSP5-RCP8.5,13,rsds_gs_dailyavg_2,Climate,1,0.25
SSP5-RCP8.5,14,rsds_gs_dailyavg_3,Climate,10,0.25
SSP5-RCP8.5,15,bulkdensity_soil,Soil,1,0.25
SSP5-RCP8.5,16,clay_fraction,Soil,31,0.25
SSP5-RCP8.5,17,ph_soil,Soil,1,0.25
SSP5-RCP8.5,18,sand_fraction,Soil,63,1
SSP5-RCP8.5,19,silt_fraction,Soil,2,0.25
SSP5-RCP8.5,20,soilcarbon,Soil,1,0.25
SSP5-RCP8.5,21,sum_exp_est_2_10,Initial Recruitment,3,0.25
SSP5-RCP8.5,22,sum_anpp_2_10,Initial Recruitment,99,1
